File Name,Extension,Category,Size (bytes),Original Path,New Path
20241104_123143.heic,.heic,Others,1392774,C:\test_folders\20241104_123143.heic,C:\test_folders\Others\20241104_123143.heic
20241104_124744.mp4,.mp4,Videos,24436587,C:\test_folders\20241104_124744.mp4,C:\test_folders\Videos\20241104_124744.mp4
20241104_192732.heic,.heic,Others,5792872,C:\test_folders\20241104_192732.heic,C:\test_folders\Others\20241104_192732.heic
20241104_195554.heic,.heic,Others,2356647,C:\test_folders\20241104_195554.heic,C:\test_folders\Others\20241104_195554.heic
20241105_061746.mp4,.mp4,Videos,11904224,C:\test_folders\20241105_061746.mp4,C:\test_folders\Videos\20241105_061746.mp4
20241105_065750.heic,.heic,Others,1656423,C:\test_folders\20241105_065750.heic,C:\test_folders\Others\20241105_065750.heic
20241105_065751.heic,.heic,Others,1328128,C:\test_folders\20241105_065751.heic,C:\test_folders\Others\20241105_065751.heic
20241105_071556.heic,.heic,Others,7735619,C:\test_folders\20241105_071556.heic,C:\test_folders\Others\20241105_071556.heic
20241105_071557.heic,.heic,Others,8036470,C:\test_folders\20241105_071557.heic,C:\test_folders\Others\20241105_071557.heic
20241105_074823.heic,.heic,Others,5965193,C:\test_folders\20241105_074823.heic,C:\test_folders\Others\20241105_074823.heic
animation.gif,.gif,Images,61,C:\test_folders\animation.gif,C:\test_folders\Images\animation.gif
app.js,.js,Code,79,C:\test_folders\app.js,C:\test_folders\Code\app.js
audio_track.mp3,.mp3,Audio,22,C:\test_folders\audio_track.mp3,C:\test_folders\Audio\audio_track.mp3
banner.gif,.gif,Images,61,C:\test_folders\banner.gif,C:\test_folders\Images\banner.gif
data.csv,.csv,Others,63,C:\test_folders\data.csv,C:\test_folders\Others\data.csv
file_example_JPG_100kB.jpg,.jpg,Images,102117,C:\test_folders\file_example_JPG_100kB.jpg,C:\test_folders\Images\file_example_JPG_100kB.jpg
file_example_JPG_2500kB.jpg,.jpg,Images,2504642,C:\test_folders\file_example_JPG_2500kB.jpg,C:\test_folders\Images\file_example_JPG_2500kB.jpg
image1.jpg,.jpg,Images,173,C:\test_folders\image1.jpg,C:\test_folders\Images\image1.jpg
image2.jpg,.jpg,Images,173,C:\test_folders\image2.jpg,C:\test_folders\Images\image2.jpg
IMG-20241105-WA0009.jpg,.jpg,Images,216103,C:\test_folders\IMG-20241105-WA0009.jpg,C:\test_folders\Images\IMG-20241105-WA0009.jpg
IMG-20241105-WA0010.jpg,.jpg,Images,251184,C:\test_folders\IMG-20241105-WA0010.jpg,C:\test_folders\Images\IMG-20241105-WA0010.jpg
IMG-20241105-WA0011.jpg,.jpg,Images,177582,C:\test_folders\IMG-20241105-WA0011.jpg,C:\test_folders\Images\IMG-20241105-WA0011.jpg
index.html,.html,Code,105,C:\test_folders\index.html,C:\test_folders\Code\index.html
letter.docx,.docx,Documents,942,C:\test_folders\letter.docx,C:\test_folders\Documents\letter.docx
Main.java,.java,Code,118,C:\test_folders\Main.java,C:\test_folders\Code\Main.java
meeting_notes.txt,.txt,Documents,79,C:\test_folders\meeting_notes.txt,C:\test_folders\Documents\meeting_notes.txt
music.wav,.wav,Audio,88244,C:\test_folders\music.wav,C:\test_folders\Audio\music.wav
notes.txt,.txt,Documents,79,C:\test_folders\notes.txt,C:\test_folders\Documents\notes.txt
photo1.png,.png,Images,238,C:\test_folders\photo1.png,C:\test_folders\Images\photo1.png
photo2.png,.png,Images,237,C:\test_folders\photo2.png,C:\test_folders\Images\photo2.png
podcast.mp3,.mp3,Audio,22,C:\test_folders\podcast.mp3,C:\test_folders\Audio\podcast.mp3
profile_pic.png,.png,Images,238,C:\test_folders\profile_pic.png,C:\test_folders\Images\profile_pic.png
program.cpp,.cpp,Code,106,C:\test_folders\program.cpp,C:\test_folders\Code\program.cpp
recording.wav,.wav,Audio,88244,C:\test_folders\recording.wav,C:\test_folders\Audio\recording.wav
report.docx,.docx,Documents,947,C:\test_folders\report.docx,C:\test_folders\Documents\report.docx
resume.docx,.docx,Documents,945,C:\test_folders\resume.docx,C:\test_folders\Documents\resume.docx
sample.pdf,.pdf,Documents,59,C:\test_folders\sample.pdf,C:\test_folders\Documents\sample.pdf
screenshot.jpg,.jpg,Images,173,C:\test_folders\screenshot.jpg,C:\test_folders\Images\screenshot.jpg
script.py,.py,Code,69,C:\test_folders\script.py,C:\test_folders\Code\script.py
Snapchat-1276082031.jpg,.jpg,Images,570681,C:\test_folders\Snapchat-1276082031.jpg,C:\test_folders\Images\Snapchat-1276082031.jpg
Snapchat-283826584.mp4,.mp4,Videos,1191699,C:\test_folders\Snapchat-283826584.mp4,C:\test_folders\Videos\Snapchat-283826584.mp4
Snapchat-518981751.jpg,.jpg,Images,627431,C:\test_folders\Snapchat-518981751.jpg,C:\test_folders\Images\Snapchat-518981751.jpg
song1.mp3,.mp3,Audio,22,C:\test_folders\song1.mp3,C:\test_folders\Audio\song1.mp3
sound_effect.wav,.wav,Audio,88244,C:\test_folders\sound_effect.wav,C:\test_folders\Audio\sound_effect.wav
style.css,.css,Code,93,C:\test_folders\style.css,C:\test_folders\Code\style.css
todo.txt,.txt,Documents,62,C:\test_folders\todo.txt,C:\test_folders\Documents\todo.txt
wallpaper.png,.png,Images,237,C:\test_folders\wallpaper.png,C:\test_folders\Images\wallpaper.png
20241104_123143.heic,.heic,Others,1392774,C:\test_folders\testing\20241104_123143.heic,C:\test_folders\testing\Others\20241104_123143.heic
20241104_124744.mp4,.mp4,Videos,24436587,C:\test_folders\testing\20241104_124744.mp4,C:\test_folders\testing\Videos\20241104_124744.mp4
20241104_192732.heic,.heic,Others,5792872,C:\test_folders\testing\20241104_192732.heic,C:\test_folders\testing\Others\20241104_192732.heic
20241104_195554.heic,.heic,Others,2356647,C:\test_folders\testing\20241104_195554.heic,C:\test_folders\testing\Others\20241104_195554.heic
20241105_061746.mp4,.mp4,Videos,11904224,C:\test_folders\testing\20241105_061746.mp4,C:\test_folders\testing\Videos\20241105_061746.mp4
20241105_065750.heic,.heic,Others,1656423,C:\test_folders\testing\20241105_065750.heic,C:\test_folders\testing\Others\20241105_065750.heic
20241105_065751.heic,.heic,Others,1328128,C:\test_folders\testing\20241105_065751.heic,C:\test_folders\testing\Others\20241105_065751.heic
20241105_071556.heic,.heic,Others,7735619,C:\test_folders\testing\20241105_071556.heic,C:\test_folders\testing\Others\20241105_071556.heic
20241105_071557.heic,.heic,Others,8036470,C:\test_folders\testing\20241105_071557.heic,C:\test_folders\testing\Others\20241105_071557.heic
20241105_074823.heic,.heic,Others,5965193,C:\test_folders\testing\20241105_074823.heic,C:\test_folders\testing\Others\20241105_074823.heic
animation.gif,.gif,Images,61,C:\test_folders\testing\animation.gif,C:\test_folders\testing\Images\animation.gif
app.js,.js,Code,79,C:\test_folders\testing\app.js,C:\test_folders\testing\Code\app.js
audio_track.mp3,.mp3,Audio,22,C:\test_folders\testing\audio_track.mp3,C:\test_folders\testing\Audio\audio_track.mp3
banner.gif,.gif,Images,61,C:\test_folders\testing\banner.gif,C:\test_folders\testing\Images\banner.gif
data.csv,.csv,Others,63,C:\test_folders\testing\data.csv,C:\test_folders\testing\Others\data.csv
file_example_JPG_100kB.jpg,.jpg,Images,102117,C:\test_folders\testing\file_example_JPG_100kB.jpg,C:\test_folders\testing\Images\file_example_JPG_100kB.jpg
file_example_JPG_2500kB.jpg,.jpg,Images,2504642,C:\test_folders\testing\file_example_JPG_2500kB.jpg,C:\test_folders\testing\Images\file_example_JPG_2500kB.jpg
image1.jpg,.jpg,Images,173,C:\test_folders\testing\image1.jpg,C:\test_folders\testing\Images\image1.jpg
image2.jpg,.jpg,Images,173,C:\test_folders\testing\image2.jpg,C:\test_folders\testing\Images\image2.jpg
IMG-20241105-WA0009.jpg,.jpg,Images,216103,C:\test_folders\testing\IMG-20241105-WA0009.jpg,C:\test_folders\testing\Images\IMG-20241105-WA0009.jpg
IMG-20241105-WA0010.jpg,.jpg,Images,251184,C:\test_folders\testing\IMG-20241105-WA0010.jpg,C:\test_folders\testing\Images\IMG-20241105-WA0010.jpg
IMG-20241105-WA0011.jpg,.jpg,Images,177582,C:\test_folders\testing\IMG-20241105-WA0011.jpg,C:\test_folders\testing\Images\IMG-20241105-WA0011.jpg
index.html,.html,Code,105,C:\test_folders\testing\index.html,C:\test_folders\testing\Code\index.html
letter.docx,.docx,Documents,942,C:\test_folders\testing\letter.docx,C:\test_folders\testing\Documents\letter.docx
Main.java,.java,Code,118,C:\test_folders\testing\Main.java,C:\test_folders\testing\Code\Main.java
meeting_notes.txt,.txt,Documents,79,C:\test_folders\testing\meeting_notes.txt,C:\test_folders\testing\Documents\meeting_notes.txt
music.wav,.wav,Audio,88244,C:\test_folders\testing\music.wav,C:\test_folders\testing\Audio\music.wav
notes.txt,.txt,Documents,79,C:\test_folders\testing\notes.txt,C:\test_folders\testing\Documents\notes.txt
photo1.png,.png,Images,238,C:\test_folders\testing\photo1.png,C:\test_folders\testing\Images\photo1.png
photo2.png,.png,Images,237,C:\test_folders\testing\photo2.png,C:\test_folders\testing\Images\photo2.png
podcast.mp3,.mp3,Audio,22,C:\test_folders\testing\podcast.mp3,C:\test_folders\testing\Audio\podcast.mp3
profile_pic.png,.png,Images,238,C:\test_folders\testing\profile_pic.png,C:\test_folders\testing\Images\profile_pic.png
program.cpp,.cpp,Code,106,C:\test_folders\testing\program.cpp,C:\test_folders\testing\Code\program.cpp
recording.wav,.wav,Audio,88244,C:\test_folders\testing\recording.wav,C:\test_folders\testing\Audio\recording.wav
report.docx,.docx,Documents,947,C:\test_folders\testing\report.docx,C:\test_folders\testing\Documents\report.docx
resume.docx,.docx,Documents,945,C:\test_folders\testing\resume.docx,C:\test_folders\testing\Documents\resume.docx
sample.pdf,.pdf,Documents,59,C:\test_folders\testing\sample.pdf,C:\test_folders\testing\Documents\sample.pdf
screenshot.jpg,.jpg,Images,173,C:\test_folders\testing\screenshot.jpg,C:\test_folders\testing\Images\screenshot.jpg
script.py,.py,Code,69,C:\test_folders\testing\script.py,C:\test_folders\testing\Code\script.py
Snapchat-1276082031.jpg,.jpg,Images,570681,C:\test_folders\testing\Snapchat-1276082031.jpg,C:\test_folders\testing\Images\Snapchat-1276082031.jpg
Snapchat-283826584.mp4,.mp4,Videos,1191699,C:\test_folders\testing\Snapchat-283826584.mp4,C:\test_folders\testing\Videos\Snapchat-283826584.mp4
Snapchat-518981751.jpg,.jpg,Images,627431,C:\test_folders\testing\Snapchat-518981751.jpg,C:\test_folders\testing\Images\Snapchat-518981751.jpg
song1.mp3,.mp3,Audio,22,C:\test_folders\testing\song1.mp3,C:\test_folders\testing\Audio\song1.mp3
sound_effect.wav,.wav,Audio,88244,C:\test_folders\testing\sound_effect.wav,C:\test_folders\testing\Audio\sound_effect.wav
style.css,.css,Code,93,C:\test_folders\testing\style.css,C:\test_folders\testing\Code\style.css
todo.txt,.txt,Documents,62,C:\test_folders\testing\todo.txt,C:\test_folders\testing\Documents\todo.txt
wallpaper.png,.png,Images,237,C:\test_folders\testing\wallpaper.png,C:\test_folders\testing\Images\wallpaper.png
